target,ids,date,flag,user,text
Positive,1468698743,Tue Apr 07 03:14:05 PDT 2009,NO_QUERY,nneira05,is still wide awake 
Positive,1559578434,Sun Apr 19 11:30:32 PDT 2009,NO_QUERY,leewaters,@qmuser I can't wait to see what the rates are. You get $ quarterly. I have a feeling my take is gonna be a fraction of a cent. 
Negative,1563590760,Sun Apr 19 23:25:52 PDT 2009,NO_QUERY,zero_one,Im getting yelled at for playing cradle of filth at the bar... 
Positive,1469245179,Tue Apr 07 05:44:40 PDT 2009,NO_QUERY,SabrinaLuna,"@lagresto It was! I'm a cat-gal for sure. No pets anymore, but cats def 1st choice!  "
Negative,1548783169,Fri Apr 17 21:57:39 PDT 2009,NO_QUERY,LisaRenee123,@theVIPERroom ahhh i was just there sunday night! 
Negative,1557495114,Sun Apr 19 04:27:40 PDT 2009,NO_QUERY,devongovett,"Just followed back a bunch of my followers, because twimailer hasn't been sending me emails. "
Negative,1553732462,Sat Apr 18 15:03:44 PDT 2009,NO_QUERY,electrofreak,"#asot400 he said video should be up... but it is not.  Lovin' the audio, tho!"
Positive,1554400807,Sat Apr 18 16:53:43 PDT 2009,NO_QUERY,cutiebbwncali,@cdndyme sounds like fun.. all the hockey players are from Canada..even the ones on the Stockton team...was hoping some stayed nearby  
Positive,1468834559,Tue Apr 07 03:58:53 PDT 2009,NO_QUERY,r27,@imjustcreative double bless ya 
Positive,1551648129,Sat Apr 18 09:36:36 PDT 2009,NO_QUERY,lindsaykira,.. Those on Fb take my info cause i'm going back to sleep and when i wake i'm done with this b.s.  if you wanna find me you will.....  ...
Negative,1548797393,Fri Apr 17 22:00:02 PDT 2009,NO_QUERY,tweetpet,@chromachris  Clean Me!
Positive,1556810732,Sun Apr 19 00:27:35 PDT 2009,NO_QUERY,pinkyphotograph,Just finished shooting the funnest wedding!!! 
Positive,1565229693,Mon Apr 20 06:14:30 PDT 2009,NO_QUERY,BridgettFlowers,"scrambled eggs w/ ketchup, bagel w/cream cheese, banana and glass of milk =490 cals, every food group touched on....super full "
Positive,1468918999,Tue Apr 07 04:24:17 PDT 2009,NO_QUERY,BigDaveP,"@JCred yeah, I thought HOllywood was teaching us to be GREEN, and now the top movie is about really really powerful CARS?  going FAST? "
Positive,1468068514,Mon Apr 06 23:32:37 PDT 2009,NO_QUERY,Spitphyre,@jhayu Here's one more. I have Maggi Noodles 
Positive,1559741741,Sun Apr 19 11:56:00 PDT 2009,NO_QUERY,saraispocock,"I won $560 on roulette last night! Fuck I love waking up with money, that rarely happens with me. Dope "
Negative,1553702881,Sat Apr 18 14:59:07 PDT 2009,NO_QUERY,CharlesEll,Still don't know what country to visit 
Positive,1468787781,Tue Apr 07 03:44:14 PDT 2009,NO_QUERY,Killina,good day to all 
Negative,1677004927,Sat May 02 00:03:34 PDT 2009,NO_QUERY,jenRETRO,"@AshleighGerman LOL but did it go well? Thanks hun, feel worse today though  hoping trip to town for unnecessary shopping will cure me..."
Positive,1563813911,Mon Apr 20 00:23:15 PDT 2009,NO_QUERY,Not4fainthearts,"ok now for the good news...drugs will be oxycotin(hillbilly heroin), endone and/or morphine. Woohoo!! Bring it on tomorrow. "
Negative,1556396491,Sat Apr 18 22:40:40 PDT 2009,NO_QUERY,buscuit,boys can suck real big ass sometimes 
Negative,1559443424,Sun Apr 19 11:09:17 PDT 2009,NO_QUERY,dinidu,@pavithri Sniff... Thanks... Sniff.... 
Negative,1564045522,Mon Apr 20 01:29:39 PDT 2009,NO_QUERY,sparly7,it seems the thing i'm best at is not sleeping...even when i want to sleep 
Positive,1468179947,Tue Apr 07 00:08:59 PDT 2009,NO_QUERY,fleurybanery,Im going to home and take the doggies to the park...will twitter from the park 
Negative,1470120979,Tue Apr 07 08:24:37 PDT 2009,NO_QUERY,zee,@BenAtSite5 i haven't created a support ticket because its back up now..but it's zee.me my domain. It's up and down every couple of days 
Negative,1573650569,Tue Apr 21 02:11:01 PDT 2009,NO_QUERY,agentsarah6,"@mister_peterman I had the same problem. Then I had to get my father to wake me up in the morning, 10 minutes later than usual. 6:08am. "
Positive,1565230627,Mon Apr 20 06:14:39 PDT 2009,NO_QUERY,WolveWC,i'm working 
Negative,1565878808,Mon Apr 20 07:45:07 PDT 2009,NO_QUERY,richt1971,Arghhhh! My web guy seems to being having internet issues so I'm trying to remove right menu in WP....seems to be screwing it up! 
Positive,1556775151,Sun Apr 19 00:17:07 PDT 2009,NO_QUERY,fireflyace,"@stezza666 Oh and congrats, nice work "
Negative,1564425947,Mon Apr 20 03:26:07 PDT 2009,NO_QUERY,bazzmatti,My day has just gone from 0 to shit in 10 seconds. Great  
Negative,1678104633,Sat May 02 05:30:51 PDT 2009,NO_QUERY,Debbie3850,has a cold..... 
Positive,1468363895,Tue Apr 07 01:13:01 PDT 2009,NO_QUERY,Jessmsmell,Nom food 
Negative,1468655096,Tue Apr 07 02:59:12 PDT 2009,NO_QUERY,etchcoli,@bloodrush545 Ugh. Pizza would be fantastic right now. Too bad this isn't phx. No pizza places open ppast like 10 here. 
Negative,1677254815,Sat May 02 01:09:37 PDT 2009,NO_QUERY,chrisart666,@kathi77 yeah I just read his updates. Noticed we werent mentioned. Yet again! Aaarrgghhhhhh so frustrating!! 
Positive,1559580851,Sun Apr 19 11:30:56 PDT 2009,NO_QUERY,kevinyorkshow,Just listening to episode 3 and getting ready to head out to the Danny Memorial at the Troubador. 
Negative,1556758426,Sun Apr 19 00:12:23 PDT 2009,NO_QUERY,mustelidmaniac,@hoomin I know it's so sad  So many people buy them on impulse and have no idea the work it takes to care for such a unique pet.
Positive,1557615694,Sun Apr 19 05:08:19 PDT 2009,NO_QUERY,NKOTBChick4Life,@thewritestuffoh of course I did! U tweet ur butt off one day &amp; disappear 4 what 3? 
Positive,1559419516,Sun Apr 19 11:05:27 PDT 2009,NO_QUERY,lala324,laying out by the pool 
Negative,1468636418,Tue Apr 07 02:52:25 PDT 2009,NO_QUERY,NathanA7X,"so tomorrow/today finishing up hmwk, getting over being sick, then getting ready for another day of school tomorrow "
Negative,1573986859,Tue Apr 21 03:46:40 PDT 2009,NO_QUERY,keitabonita1,On my way to work again 
Positive,1467898730,Mon Apr 06 22:43:00 PDT 2009,NO_QUERY,Grandroyale,"Studying philosophy and math... &lt;----BLAH aka listening to music and on twitter, facebook, and myspace "
Positive,1557192719,Sun Apr 19 02:33:45 PDT 2009,NO_QUERY,smallbecca,@hotpatootie have a gargle with some honey and lemon 
Negative,1548859463,Fri Apr 17 22:11:59 PDT 2009,NO_QUERY,myrandalove,@JazzieBluE @JazzieBluE  oh my god I am so jelous aghh it was ehhh 6 /7hour drive from my house. 
Negative,1675857337,Fri May 01 20:29:48 PDT 2009,NO_QUERY,Com1xguy,@brianberling Unfortunatly not yet.  My Internet is subpar right now 
Negative,1550708563,Sat Apr 18 07:01:02 PDT 2009,NO_QUERY,ryankirgan,Ryan is doing his and Em's FY07 tax returns  I'm pretty sure I used to do other things at Midnight on a Saturday!
Negative,1557799454,Sun Apr 19 06:03:18 PDT 2009,NO_QUERY,nikkinuyda,"I want to bring a laptop to the training. That way, it's a lot more bearable. "
Negative,1555758768,Sat Apr 18 20:36:43 PDT 2009,NO_QUERY,Rachealblack110,@Irish_vampire thanks so much......i wish there was a way we could now 
Positive,1468005385,Mon Apr 06 23:13:12 PDT 2009,NO_QUERY,jackybabe,@nicefaceMITCHIE girllllll you know 
Negative,1557658589,Sun Apr 19 05:22:03 PDT 2009,NO_QUERY,chicndirty,"started remembering my dreams again, but good go the nigtmares have been awful "
Negative,1551174176,Sat Apr 18 08:20:33 PDT 2009,NO_QUERY,timothydclark,"@patlike Brutal Legend not quite the megaton reveal we were both hoping for from @wossy, eh Pat? "
Negative,1555844394,Sat Apr 18 20:51:31 PDT 2009,NO_QUERY,raylime,"looks GOOD tonight, too bad it's sober saturday "
Negative,1573361643,Tue Apr 21 00:49:22 PDT 2009,NO_QUERY,maddiiee1,"This is my 4th night here. I'm missing my kitty, Kitty "
Negative,1556609589,Sat Apr 18 23:32:47 PDT 2009,NO_QUERY,alyssenicole,"@ellokitty5 ugh thanks. what if my part isnt done. i don't feel well, and really need sleep. "
